n,nb_threads,mode,trial,sum,time_ms
256,-1,oracle,0,169.043867,0.000000
256,-1,double,0,169.043869,0.003174
256,-1,double,1,169.043869,0.004150
256,-1,double,2,169.043869,0.003174
256,-1,double,3,169.043869,0.002930
256,-1,double,4,169.043869,0.002930
256,-1,naive,0,169.043854,0.002930
256,-1,naive,1,169.043854,0.002930
256,-1,naive,2,169.043854,0.002930
256,-1,naive,3,169.043854,0.003906
256,-1,naive,4,169.043854,0.002930
256,-1,rec,0,169.043869,0.010010
256,-1,rec,1,169.043869,0.008057
256,-1,rec,2,169.043869,0.008057
256,-1,rec,3,169.043869,0.008057
256,-1,rec,4,169.043869,0.008057
256,-1,vec,0,169.043884,0.000977
256,-1,vec,1,169.043884,0.000977
256,-1,vec,2,169.043884,0.000977
256,-1,vec,3,169.043884,0.000977
256,-1,vec,4,169.043884,0.000977
256,1,double,0,169.043869,0.750000
256,1,double,1,169.043869,0.221924
256,1,double,2,169.043869,0.210205
256,1,double,3,169.043869,0.197021
256,1,double,4,169.043869,0.187012
256,1,naive,0,169.043854,0.186035
256,1,naive,1,169.043854,0.144775
256,1,naive,2,169.043854,0.064941
256,1,naive,3,169.043854,0.083984
256,1,naive,4,169.043854,0.072021
256,1,rec,0,169.043869,0.076904
256,1,rec,1,169.043869,0.059814
256,1,rec,2,169.043869,0.060059
256,1,rec,3,169.043869,0.062988
256,1,rec,4,169.043869,0.062988
256,1,vec,0,169.043884,0.053955
256,1,vec,1,169.043884,0.076904
256,1,vec,2,169.043884,0.065918
256,1,vec,3,169.043884,0.142822
256,1,vec,4,169.043884,0.067871
256,2,double,0,169.043869,0.152832
256,2,double,1,169.043869,0.139893
256,2,double,2,169.043869,0.125000
256,2,double,3,169.043869,0.137207
256,2,double,4,169.043869,0.120117
256,2,naive,0,169.043854,0.179932
256,2,naive,1,169.043854,0.193848
256,2,naive,2,169.043854,0.192871
256,2,naive,3,169.043854,0.206787
256,2,naive,4,169.043854,0.163086
256,2,rec,0,169.043869,0.133789
256,2,rec,1,169.043869,0.076904
256,2,rec,2,169.043869,0.114014
256,2,rec,3,169.043869,0.122070
256,2,rec,4,169.043869,0.094971
256,2,vec,0,169.043869,0.124023
256,2,vec,1,169.043869,0.077148
256,2,vec,2,169.043869,0.120117
256,2,vec,3,169.043869,0.079102
256,2,vec,4,169.043869,0.127930
256,4,double,0,169.043869,0.718994
256,4,double,1,169.043869,0.158936
256,4,double,2,169.043869,0.156006
256,4,double,3,169.043869,0.125000
256,4,double,4,169.043869,0.125977
256,4,naive,0,169.043854,0.119873
256,4,naive,1,169.043854,0.115967
256,4,naive,2,169.043854,0.118896
256,4,naive,3,169.043854,0.123047
256,4,naive,4,169.043854,0.121826
256,4,rec,0,169.043869,0.117920
256,4,rec,1,169.043869,0.118896
256,4,rec,2,169.043869,0.133789
256,4,rec,3,169.043869,0.123047
256,4,rec,4,169.043869,0.122070
256,4,vec,0,169.043869,0.122070
256,4,vec,1,169.043869,0.123047
256,4,vec,2,169.043869,0.124023
256,4,vec,3,169.043869,0.116943
256,4,vec,4,169.043869,0.130859
256,8,double,0,169.043854,0.403809
256,8,double,1,169.043854,0.704102
256,8,double,2,169.043854,0.346191
256,8,double,3,169.043854,0.747070
256,8,double,4,169.043854,0.375000
256,8,naive,0,169.043854,0.681885
256,8,naive,1,169.043854,0.341797
256,8,naive,2,169.043854,0.694092
256,8,naive,3,169.043854,0.354004
256,8,naive,4,169.043854,0.707031
256,8,rec,0,169.043884,0.376953
256,8,rec,1,169.043884,0.734131
256,8,rec,2,169.043884,0.350830
256,8,rec,3,169.043884,0.670898
256,8,rec,4,169.043884,0.364990
256,8,vec,0,169.043884,0.684814
256,8,vec,1,169.043884,0.334961
256,8,vec,2,169.043884,0.681885
256,8,vec,3,169.043884,0.444092
256,8,vec,4,169.043884,0.707031
256,16,double,0,169.043869,0.845947
256,16,double,1,169.043869,1.172119
256,16,double,2,169.043869,1.217041
256,16,double,3,169.043869,1.223145
256,16,double,4,169.043869,1.145020
256,16,naive,0,169.043884,1.158936
256,16,naive,1,169.043884,1.281982
256,16,naive,2,169.043884,1.207031
256,16,naive,3,169.043884,1.184082
256,16,naive,4,169.043884,1.250000
256,16,rec,0,169.043869,1.272949
256,16,rec,1,169.043869,1.144043
256,16,rec,2,169.043869,1.333008
256,16,rec,3,169.043869,1.300049
256,16,rec,4,169.043869,1.234863
256,16,vec,0,169.043869,1.156982
256,16,vec,1,169.043869,1.250977
256,16,vec,2,169.043869,1.125977
256,16,vec,3,169.043869,1.125000
256,16,vec,4,169.043869,1.032959
256,32,double,0,169.043869,1.468994
256,32,double,1,169.043869,1.379883
256,32,double,2,169.043869,1.461914
256,32,double,3,169.043869,1.082031
256,32,double,4,169.043869,1.095947
256,32,naive,0,169.043869,1.065186
256,32,naive,1,169.043869,1.128906
256,32,naive,2,169.043869,0.946045
256,32,naive,3,169.043869,0.843018
256,32,naive,4,169.043869,0.840088
256,32,rec,0,169.043869,0.902100
256,32,rec,1,169.043869,0.844971
256,32,rec,2,169.043869,0.828125
256,32,rec,3,169.043869,0.760010
256,32,rec,4,169.043869,0.715820
256,32,vec,0,169.043869,0.736816
256,32,vec,1,169.043869,0.692871
256,32,vec,2,169.043869,0.701172
256,32,vec,3,169.043869,0.723877
256,32,vec,4,169.043869,0.693848
2560,-1,oracle,0,1727.569805,0.000000
2560,-1,double,0,1727.569824,0.028809
2560,-1,double,1,1727.569824,0.029053
2560,-1,double,2,1727.569824,0.047852
2560,-1,double,3,1727.569824,0.029785
2560,-1,double,4,1727.569824,0.029053
2560,-1,naive,0,1727.569336,0.030029
2560,-1,naive,1,1727.569336,0.029053
2560,-1,naive,2,1727.569336,0.029053
2560,-1,naive,3,1727.569336,0.028809
2560,-1,naive,4,1727.569336,0.029053
2560,-1,rec,0,1727.569824,0.081055
2560,-1,rec,1,1727.569824,0.079102
2560,-1,rec,2,1727.569824,0.079102
2560,-1,rec,3,1727.569824,0.079102
2560,-1,rec,4,1727.569824,0.079102
2560,-1,vec,0,1727.569946,0.009033
2560,-1,vec,1,1727.569946,0.008789
2560,-1,vec,2,1727.569946,0.009033
2560,-1,vec,3,1727.569946,0.008057
2560,-1,vec,4,1727.569946,0.008057
2560,1,double,0,1727.569824,0.691162
2560,1,double,1,1727.569824,0.231934
2560,1,double,2,1727.569824,0.219971
2560,1,double,3,1727.569824,0.213135
2560,1,double,4,1727.569824,0.222900
2560,1,naive,0,1727.569336,0.230957
2560,1,naive,1,1727.569336,0.232178
2560,1,naive,2,1727.569336,0.185059
2560,1,naive,3,1727.569336,0.097168
2560,1,naive,4,1727.569336,0.170166
2560,1,rec,0,1727.569824,0.155029
2560,1,rec,1,1727.569824,0.234863
2560,1,rec,2,1727.569824,0.165039
2560,1,rec,3,1727.569824,0.225098
2560,1,rec,4,1727.569824,0.306885
2560,1,vec,0,1727.569946,0.210938
2560,1,vec,1,1727.569946,0.217041
2560,1,vec,2,1727.569946,0.208984
2560,1,vec,3,1727.569946,0.216064
2560,1,vec,4,1727.569946,0.161133
2560,2,double,0,1727.569824,0.190186
2560,2,double,1,1727.569824,0.158203
2560,2,double,2,1727.569824,0.167969
2560,2,double,3,1727.569824,0.158936
2560,2,double,4,1727.569824,0.155029
2560,2,naive,0,1727.568604,0.159180
2560,2,naive,1,1727.568604,0.162109
2560,2,naive,2,1727.568604,0.125000
2560,2,naive,3,1727.568604,0.144043
2560,2,naive,4,1727.568604,0.164062
2560,2,rec,0,1727.569824,0.246094
2560,2,rec,1,1727.569824,0.219971
2560,2,rec,2,1727.569824,0.149902
2560,2,rec,3,1727.569824,0.116943
2560,2,rec,4,1727.569824,0.237061
